date,observed [m3/s],run_shifted [m3/s],run_biased [m3/s]
2001-09-25,6.1338,6.8305,7.6338
2001-09-26,6.1862,6.2447,7.6862
2001-09-27,6.1544,6.2204,7.6544
2001-09-28,6.4922,6.1338,7.9922
2001-09-29,6.3392,6.1862,7.8392
2001-09-30,6.2897,6.1544,7.7897
2001-10-01,5.5400,6.4922,7.0400
2001-10-02,5.4796,6.3392,6.9796
2001-10-03,5.9527,6.2897,7.4527
2001-10-04,6.0330,5.5400,7.5330
2001-10-05,5.6265,5.4796,7.1265
2001-10-06,5.6494,5.9527,7.1494
2001-10-07,5.1123,6.0330,6.6123
2001-10-08,5.3602,5.6265,6.8602
2001-10-09,5.7297,5.6494,7.2297
2001-10-10,5.6062,5.1123,7.1062
2001-10-11,5.6235,5.3602,7.1235
2001-10-12,5.7796,5.7297,7.2796
2001-10-13,5.3770,5.6062,6.8770
2001-10-14,5.5976,5.6235,7.0976
2001-10-15,6.1334,5.7796,7.6334
2001-10-16,7.0454,5.3770,8.5454
2001-10-17,7.7868,5.5976,9.2868
2001-10-18,8.4370,6.1334,9.9370
2001-10-19,8.3850,7.0454,9.8850
2001-10-20,8.0714,7.7868,9.5714
2001-10-21,7.5926,8.4370,9.0926
2001-10-22,6.6028,8.3850,8.1028
2001-10-23,5.9305,8.0714,7.4305
2001-10-24,4.8916,7.5926,6.3916
2001-10-25,5.0240,6.6028,6.5240
2001-10-26,4.2784,5.9305,5.7784
2001-10-27,4.6364,4.8916,6.1364
2001-10-28,4.2946,5.0240,5.7946
2001-10-29,3.9353,4.2784,5.4353
2001-10-30,3.7252,4.6364,5.2252
2001-10-31,3.7618,4.2946,5.2618
2001-11-01,4.0096,3.9353,5.5096
2001-11-02,4.0010,3.7252,5.5010
2001-11-03,3.4741,3.7618,4.9741
2001-11-04,3.3838,4.0096,4.8838
2001-11-05,3.6907,4.0010,5.1907
2001-11-06,3.6819,3.4741,5.1819
2001-11-07,3.4712,3.3838,4.9712
2001-11-08,3.2854,3.6907,4.7854
2001-11-09,3.5339,3.6819,5.0339
2001-11-10,3.0088,3.4712,4.5088
2001-11-11,3.1897,3.2854,4.6897
2001-11-12,3.2659,3.5339,4.7659
2001-11-13,3.6142,3.0088,5.1142
2001-11-14,3.3132,3.1897,4.8132
2001-11-15,3.4559,3.2659,4.9559
2001-11-16,3.0813,3.6142,4.5813
2001-11-17,2.8419,3.3132,4.3419
2001-11-18,2.8056,3.4559,4.3056
2001-11-19,3.3312,3.0813,4.8312
2001-11-20,3.0821,2.8419,4.5821
2001-11-21,2.7209,2.8056,4.2209
2001-11-22,2.4499,3.3312,3.9499
2001-11-23,2.7896,3.0821,4.2896
2001-11-24,2.8899,2.7209,4.3899
2001-11-25,2.6467,2.4499,4.1467
2001-11-26,2.4778,2.7896,3.9778
2001-11-27,2.7682,2.8899,4.2682
2001-11-28,2.9378,2.6467,4.4378
2001-11-29,2.3434,2.4778,3.8434
2001-11-30,2.1546,2.7682,3.6546
2001-12-01,2.3641,2.9378,3.8641
2001-12-02,2.3975,2.3434,3.8975
2001-12-03,2.5756,2.1546,4.0756
2001-12-04,2.1575,2.3641,3.6575
2001-12-05,2.6073,2.3975,4.1073
2001-12-06,2.5326,2.5756,4.0326
2001-12-07,2.3179,2.1575,3.8179
2001-12-08,2.0520,2.6073,3.5520
2001-12-09,2.6386,2.5326,4.1386
2001-12-10,2.0882,2.3179,3.5882
2001-12-11,2.4719,2.0520,3.9719
2001-12-12,1.9788,2.6386,3.4788
2001-12-13,1.9507,2.0882,3.4507
2001-12-14,2.3625,2.4719,3.8625
2001-12-15,1.9717,1.9788,3.4717
2001-12-16,2.4801,1.9507,3.9801
2001-12-17,2.0991,2.3625,3.5991
2001-12-18,1.8374,1.9717,3.3374
2001-12-19,1.8525,2.4801,3.3525
2001-12-20,1.9949,2.0991,3.4949
2001-12-21,2.1821,1.8374,3.6821
2001-12-22,2.3986,1.8525,3.8986
2001-12-23,1.7476,1.9949,3.2476
2001-12-24,1.9374,2.1821,3.4374
2001-12-25,1.7863,2.3986,3.2863
2001-12-26,2.3897,1.7476,3.8897
2001-12-27,1.7195,1.9374,3.2195
2001-12-28,1.6443,1.7863,3.1443
2001-12-29,1.6489,2.3897,3.1489
2001-12-30,1.9147,1.7195,3.4147
